title,title_url,company,cicon,cicon1,type,keyword,popular,date,easy_apply,salary_min,salary_max
                     未経験歓迎 営業事務 土日祝休 原則定時退社                 ,https://xn--pckua2a7gp15o89zb.com/jb/1662c466b11d81724ee02ca2f8b53ff0,株式会社東京海上日動パートナーズ東海北陸,                     金沢市 鞍月                                    ,月給20万円～45万円 / 賞与あり,正社員,                    未経験OK                                     在宅ワーク                                     ブランクOK                                     研修あり                                     残業月～30時間                                     土日祝休                                     年休120日～                 ,人気,9日前,,,
ものづくり技術職 鉄骨製造・加工,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l5a85be3295750a27cbe735e4f2a8956d&p=t%2BAK7k0GmMUr0ZRss/MBm/EOLG4Fk9d0kwGiELk2/GesuJlxHCprrkuvxEdncp95wQ1JPX2jrOBkprkhlJedd2idAgfHqBQoe/89nqap1kcbLsuKk/EWhmecSYbnvS883nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHbDUCtujAfIwyTioI7N7U6zIYjVd2Z5i5XJgnzAhyOYjTf6/bYTqOVXmp3OKv3ssAlSlRwpFH3TyPMsyK5MvPM/NYSIcq7dq3LIROff60s38pUggjrkwjBJk1z3JQKZJdO9YxZGADJMBu1RpZpnxvp5GUgLEDzQsP5rQW48t8b9gEYraIeHdCRC0ZPYu7KjLPVobPEHEiIB9jX0/1G7Fhkhai6/l3SZmibxdGxWKCBKpvsPA0zhybj9YbNvxBsCAh9yeMnLJrJ3aozzNbaDD70w%3D%3D&ph=571ebd9c9f8e&phv=1,有限会社海鐵工,                     石川県 金沢市 福久東                                    ,月給22万円～40万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     ミドル・シニア                                     中型免許                                     AT限定可                                     駐車場あり                                     交通費                                     老舗企業                 ,人気,14日以上前,かんたん応募,,
フェンスやガードレールの設置スタッフ／未経験OK／土日祝休／賞与・昇給あり,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lb4e39998e4dc6dcb5a2c231401f546b9&p=t%2BAK7k0GmMUr0ZRss/MBmwKHNA6adlZcEPXiOn/babthR2gevquDHsn84NUiZD548k2IfX4cICFakgPoFNQtnmidAgfHqBQoe/89nqap1kfiFSud59czRcGe2iqOVOWT3nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHbDUCtujAfIwyTioI7N7U6zIYjVd2Z5i5XJgnzAhyOYhtPxtvViq5lr9vsoyEapB55tLfzquOl3/hBybszOsJqvNYSIcq7dq3LIROff60s38pUggjrkwjBJk1z3JQKZJdO9YxZGADJMBu1RpZpnxvp8/boiJrVr6BAN287iNTT0Eh4A3Bil2B2gjaYy9yt7btvyn89x38t9D4bCNxtKxWqVUrzbOAiH%2Bwj6b%2BPKjHHImW/PwU3Dry9ywZRriqBImgLTgtbLGzKXBXhaQlDTII1Q%3D%3D&ph=61dc579b6030&phv=1,株式会社カネミツ,                     石川県 金沢市 割出町                                    ,月給25万円～48万円 / 賞与あり・昇給あり,正社員,                    未経験OK                                     UIターン                                     交通費                                     土日祝休                                     ワークライフバランス                                     若手活躍                                     長期休暇                 ,人気,14日以上前,かんたん応募,,
リサイクル品のルート収集スタッフ,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l1130213f44660d5be1d291686f2896f6&p=t%2BAK7k0GmMUr0ZRss/MBm%2ByxR/art4dsk7KTRoQSk11hrv6rMtTF7AQlwYEpqpjtylvvnTgMQENZyI1k/M0HVGidAgfHqBQoe/89nqap1kcJYaRgz1LbJG8KvUthOICP3nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHbDUCtujAfIwyTioI7N7U6zIYjVd2Z5i5XJgnzAhyOYhWGMUr%2B5ZbeGtR5F4LRRWVqduZMklQ%2BpCuqWbJFbxdS/NYSIcq7dq3LIROff60s38pUggjrkwjBJk1z3JQKZJdO9YxZGADJMBu1RpZpnxvp6BKIXBOIYAuh3yaUeA6uqRKZYAiGKFgV7NMqmENaheZD68tFZMD8ueGydiWSRw7frKEvD3aOgYrRi3ZBMrQx3lqEHesfhEfJzys6KbzEXGTDiAOdO6VOlXP3xQdMqDSIA%3D%3D&ph=614a33fca5c6&phv=1,株式会社鶴商,                     石川県 金沢市 湊                                    ,月給25万円～ / 賞与あり・昇給あり,正社員,                    未経験OK                                     大型免許                                     中型免許                                     研修あり                                     資格取得支援                                     交通費                                     週休2日                 ,人気,2日前,かんたん応募,,
                     石川県金沢市のホテルのレストランの洗い場／金沢の中心部に位置する高層ホテル「ANAホリデイ                 ,https://xn--pckua2a7gp15o89zb.com/jb/1850e57da1b366b42891cf43082078c9,株式会社金沢スカイホテル,                     金沢市 武蔵町                                    ,"時給1,000円～1,080円 / 交通費支給",アルバイト・パート,                    未経験OK                                     ミドル・シニア                                     学生歓迎                                     シフト制                                     制服あり                                     禁煙・分煙                                     友達応募OK                 ,人気,14日以上前,,,
                     治験コーディネーター                 ,https://xn--pckua2a7gp15o89zb.com/jb/bb66675f185742700465106a761d60ce,株式会社アイデム,                     石川県 金沢市                                    ,月給29万円～ / 賞与あり・昇給あり,正社員,                    未経験OK                                     在宅ワーク                                     産休・育休                                     土日祝休                                     グローバル                                     臨床検査技師                                     交通費                 ,人気,14日以上前,,,
倉庫内作業および配送,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lf5ee10b6078a6b049234c1427f0a8814&p=t%2BAK7k0GmMUr0ZRss/MBm/v3vJbgsWKZD20wK9C1Mzwt/Gv5D1blce6kX9M4UCgBpq5m4BLFAEsnlAkENr4LpWidAgfHqBQoe/89nqap1kc3qYOmry0M9KFMu83WT9aw3nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHbDUCtujAfIwyTioI7N7U6zIYjVd2Z5i5XJgnzAhyOYglenm0R5H4CUo85WlCpyuILmuBzNg49hWtrYc6wZf15vNYSIcq7dq3LIROff60s38pUggjrkwjBJk1z3JQKZJdO9YxZGADJMBu1RpZpnxvp5OLVxSOkBpq9cdyjhi8oY7umyXdz2/ASQTPFelOW/3aPcOa9VcKdp%2BHaDjsUZEcAH/a0hHI6wAmAFbdTFsQYaSCwbPh29L839/avDHCsyk92Vq/Mlla/dAFxUZQ%2Bas5Xg%3D%3D&ph=3aa831d6ae39&phv=1,株式会社坂田亀巣堂,                     石川県 金沢市 福久町                                    ,"時給1,000円～ / 交通費支給",アルバイト・パート,                    未経験OK                                     ミドル・シニア                                     車通勤OK                                     シフト制                                     短時間OK                                     禁煙・分煙                                     昇給あり                 ,人気,14日以上前,かんたん応募,,
照明演出技術者,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l01af92c8492f051225954b535ab745b9&p=t%2BAK7k0GmMUr0ZRss/MBm8Q00x63WxJ8%2BmqgmEyeQPMhWLegfpSZ5/%2BfOimD9f6w1oobtjF9Sx211qv%2BQ/u1PWidAgfHqBQoe/89nqap1kdeZzjWUI/IPIPbHJ89TuZm3nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHbDUCtujAfIwyTioI7N7U6zIYjVd2Z5i5XJgnzAhyOYh5qWQUfxCCPv1Mf1nX7f3C6MykgTj095WZWgYAVAeb9fNYSIcq7dq3LIROff60s38pUggjrkwjBJk1z3JQKZJdO9YxZGADJMBu1RpZpnxvpxPF1sT/530cvEDNxvZ4sHxXMj4UDKIeyBQtJ6JT/mSNUboBe4zOraR5lH8oLNnlKnNb2VZKSLIeJ6Co22q1zxOWAxbDRIlQ5nWfbRifolGsIAMtRIfECbg7%2BOb/8aKoLw%3D%3D&ph=317a1c230d2b&phv=1,坪田電機株式会社,                     石川県 金沢市 千木 / 東金沢駅 車7分                                    ,月給20万円～ / 賞与あり・昇給あり,正社員,                    未経験OK                                     女性活躍                                     交通費                                     車通勤OK                                     ミドル・シニア                                     履歴書不要                                     資格取得支援                 ,人気,14日以上前,かんたん応募,,
⽣コンミキサー⾞の運転,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=l918a4ea03cce9d616ea65a87eafaee6c&p=t%2BAK7k0GmMUr0ZRss/MBm171kjlRl58d1rgeY2Xcq/S7p39Jct/6uOQ7tI%2Bt985LzDHau4%2BAESXHsdntM7elpmidAgfHqBQoe/89nqap1kfJxFSqYpJvRWhymiPriHol3nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHbDUCtujAfIwyTioI7N7U6zIYjVd2Z5i5XJgnzAhyOYiJr9xEoBrI0coYi0Af1XIZGbkpEy3rCFU5QjLZ1vH2fvNYSIcq7dq3LIROff60s38pUggjrkwjBJk1z3JQKZJdO9YxZGADJMBu1RpZpnxvp8AQyYVss8g86/1WWh3Qrc13q9rmP8yIbk0KY3DzVOrsDskKAprQHfmGpo27JCuWrT3DmvVXCnafh2g47FGRHADg5hpFqDIstMS9G8I7msMH9yeMnLJrJ3aozzNbaDD70w%3D%3D&ph=88ef0906032b&phv=1,金沢生コンクリート株式会社,                     石川県 金沢市 湊                                    ,"月給24万円～32万5,000円 / 賞与あり・昇給あり",正社員,                    駐車場あり                                     中型免許                                     経験者優遇                                     資格手当                                     社保完備                                     交通費                                     資格取得支援                 ,人気,14日以上前,かんたん応募,,
技術部門限定職,https://xn--pckua2a7gp15o89zb.com/rd/?uaid=lf5d12c8a00a7acd19243ce6ed5f438e6&p=t%2BAK7k0GmMUr0ZRss/MBmz%2BOz3GPLaesVHiobPS72goQ5uFC3RuiTPdhfcPDlfj3Id7pP0Yj0mp93ZWfni/Z32idAgfHqBQoe/89nqap1kedY%2BNiT0BTE6wrn1Xo6Z933nqkoDj1Ls5bdVGUKQX7MG3R6E4f/LtlWo03trhXQ/umIpVjGAdxiBMasB7M2GkdA82ZCJoAzKMzzZ71OaxJ6124oPfHfNDB3GMAShI98vOQYFF1bRvuoUEp/R/KfXOHbDUCtujAfIwyTioI7N7U6zIYjVd2Z5i5XJgnzAhyOYjT1uC550l08RudTtM7Py3a%2BC3YI70J%2B0%2BKPyQ22fjZwnOb341e2RTVjQgUG/1axYsbhS4nF4caoVPxNtpOre3ccQa%2B9Jqf2oy4aM4fcFebseHc0kl16YmyJs%2BsMoHnSUCnLrHPWzo2prv31n8fbKQCSjlVRCTqTzyBM8UZa/pZMr%2BHT2uyjX6Bbso09MgAK1j3J4ycsmsndqjPM1toMPvT&ph=8798df3c39d3&phv=1,大和リース株式会社,                     石川県 金沢市 鞍月                                    ,月給26万円～44万円 / 賞与あり・昇給あり,正社員,                    EXCEL                                     車通勤OK                                     交通費                                     家族手当                                     社保完備                                     週休2日                                     PowerPoint                 ,人気,14日以上前,かんたん応募,,
